Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15,Xc2.lambda16,Xc2.lambda17,Xc2.lambda18,Xc2.lambda19,Xc2.lambda20,Xc2.lambda21,Xc2.lambda22,Xc2.lambda23,Xc2.lambda24,Xc2.lambda25,Xc2.lambda26,Xc2.lambda27,Xc2.lambda28,Xc2.lambda29,Xc2.lambda30,Schneider.Xr.A,Schneider.Xr.R,Schneider.Xr.N,Schneider.Xr.D,Schneider.Xr.C,Schneider.Xr.Q,Schneider.Xr.E,Schneider.Xr.G,Schneider.Xr.H,Schneider.Xr.I,Schneider.Xr.L,Schneider.Xr.K,Schneider.Xr.M,Schneider.Xr.F,Schneider.Xr.P,Schneider.Xr.S,Schneider.Xr.T,Schneider.Xr.W,Schneider.Xr.Y,Schneider.Xr.V,Grantham.Xr.A,Grantham.Xr.R,Grantham.Xr.N,Grantham.Xr.D,Grantham.Xr.C,Grantham.Xr.Q,Grantham.Xr.E,Grantham.Xr.G,Grantham.Xr.H,Grantham.Xr.I,Grantham.Xr.L,Grantham.Xr.K,Grantham.Xr.M,Grantham.Xr.F,Grantham.Xr.P,Grantham.Xr.S,Grantham.Xr.T,Grantham.Xr.W,Grantham.Xr.Y,Grantham.Xr.V,Schneider.Xd.1,Schneider.Xd.2,Schneider.Xd.3,Schneider.Xd.4,Schneider.Xd.5,Schneider.Xd.6,Schneider.Xd.7,Schneider.Xd.8,Schneider.Xd.9,Schneider.Xd.10,Schneider.Xd.11,Schneider.Xd.12,Schneider.Xd.13,Schneider.Xd.14,Schneider.Xd.15,Schneider.Xd.16,Schneider.Xd.17,Schneider.Xd.18,Schneider.Xd.19,Schneider.Xd.20,Schneider.Xd.21,Schneider.Xd.22,Schneider.Xd.23,Schneider.Xd.24,Schneider.Xd.25,Schneider.Xd.26,Schneider.Xd.27,Schneider.Xd.28,Schneider.Xd.29,Schneider.Xd.30,Grantham.Xd.1,Grantham.Xd.2,Grantham.Xd.3,Grantham.Xd.4,Grantham.Xd.5,Grantham.Xd.6,Grantham.Xd.7,Grantham.Xd.8,Grantham.Xd.9,Grantham.Xd.10,Grantham.Xd.11,Grantham.Xd.12,Grantham.Xd.13,Grantham.Xd.14,Grantham.Xd.15,Grantham.Xd.16,Grantham.Xd.17,Grantham.Xd.18,Grantham.Xd.19,Grantham.Xd.20,Grantham.Xd.21,Grantham.Xd.22,Grantham.Xd.23,Grantham.Xd.24,Grantham.Xd.25,Grantham.Xd.26,Grantham.Xd.27,Grantham.Xd.28,Grantham.Xd.29,Grantham.Xd.30
11.45472589,4.581890356,5.854637676,9.163780711,1.018197857,6.618286069,8.145582854,8.654681783,2.290945178,5.345538748,9.927429104,11.70927535,4.581890356,5.345538748,7.89103339,7.381934462,6.618286069,2.290945178,6.872835533,10.43652803,0.026107956,0.02503186,0.023818304,0.02461005,0.024184833,0.025688341,0.025338936,0.024028162,0.024380839,0.025125676,0.024916984,0.026677096,0.02511751,0.024108039,0.024864074,0.025457223,0.024485405,0.024552213,0.024003148,0.024228828,0.025604095,0.025263994,0.024109345,0.026259062,0.024502233,0.02588792,0.024767692,0.023654369,0.025006977,0.023669372,0.078624006,0.031449602,0.040185603,0.062899205,0.006988801,0.045427203,0.055910404,0.059404804,0.015724801,0.036691203,0.068140805,0.080371206,0.031449602,0.036691203,0.054163204,0.050668804,0.045427203,0.015724801,0.047174403,0.071635205,2.96E-06,1.18E-06,1.51E-06,2.36E-06,2.63E-07,1.71E-06,2.10E-06,2.23E-06,5.91E-07,1.38E-06,2.56E-06,3.02E-06,1.18E-06,1.38E-06,2.04E-06,1.90E-06,1.71E-06,5.91E-07,1.77E-06,2.69E-06,0.035340954,0.034970284,0.032127705,0.033871431,0.033473091,0.034913151,0.034083308,0.033663438,0.033821565,0.033471166,0.033545814,0.035156473,0.033236619,0.032402241,0.033021339,0.033653854,0.031859946,0.032863209,0.032569539,0.032904603,0.032923168,0.033093562,0.031829673,0.034966722,0.03250084,0.033325264,0.032143653,0.032159838,0.032691884,0.031668467,0.036745935,0.033295855,0.034249209,0.034638237,0.033997066,0.035690901,0.034864778,0.033534067,0.033381431,0.033606828,0.032345457,0.035318706,0.033085137,0.032109879,0.032170804,0.034391034,0.030943114,0.032584621,0.031678781,0.032258331,0.03305141,0.032861263,0.032251809,0.034503138,0.033592333,0.034288926,0.031582506,0.031845164,0.032882426,0.032250791
11.5186512,5.357512188,5.625387797,8.304143891,0.803626828,6.161139016,5.625387797,13.66165608,6.161139016,5.625387797,13.92953169,6.429014625,7.768392672,4.821760969,9.107770719,5.625387797,6.964765844,2.410880484,2.410880484,9.911397547,0.024946249,0.023812983,0.024929464,0.025152509,0.024809844,0.025390672,0.024967575,0.024343359,0.024050596,0.024260044,0.023625669,0.024758714,0.023514682,0.022549824,0.024155677,0.026387379,0.024142143,0.024680966,0.024237865,0.024178135,0.024148744,0.023777685,0.023814378,0.024023997,0.024175053,0.025242237,0.023787801,0.024661748,0.025159142,0.024439254,0.082434012,0.038341401,0.040258471,0.059429171,0.00575121,0.044092611,0.040258471,0.097770572,0.044092611,0.040258471,0.099687642,0.046009681,0.055595031,0.034507261,0.065180381,0.040258471,0.049843821,0.01725363,0.01725363,0.070931592,3.02E-06,1.40E-06,1.47E-06,2.17E-06,2.10E-07,1.61E-06,1.47E-06,3.58E-06,1.61E-06,1.47E-06,3.65E-06,1.68E-06,2.03E-06,1.26E-06,2.38E-06,1.47E-06,1.82E-06,6.31E-07,6.31E-07,2.60E-06,0.03523048,0.03415004,0.034548962,0.03491632,0.033984447,0.035173253,0.034171593,0.033703146,0.034062938,0.033624661,0.032724527,0.034320769,0.032962436,0.030780405,0.03434996,0.034923796,0.032251776,0.032330912,0.03284571,0.032192308,0.032788753,0.031319889,0.031983255,0.032065439,0.033152571,0.033972477,0.032243307,0.031180328,0.033399184,0.03272929,0.035727119,0.033611845,0.035351786,0.036235971,0.035125515,0.034701839,0.034589237,0.033653826,0.033379233,0.03405131,0.031755451,0.031989065,0.032745083,0.031745701,0.033830217,0.035380187,0.032591545,0.033243273,0.033084594,0.031767845,0.031034238,0.031319156,0.033228164,0.032850629,0.033631857,0.033769346,0.032572347,0.031472694,0.032196235,0.033364622
18.5501042,12.03250002,9.2750521,11.28046877,2.506770838,12.03250002,11.78182294,19.05145837,7.018958346,11.53114585,16.29401045,9.024375016,4.762864592,8.272343765,11.02979169,11.02979169,10.52843752,5.013541676,6.768281262,14.78994794,0.025255916,0.026662086,0.025012544,0.025374498,0.023881821,0.025236188,0.024642648,0.025381174,0.0250482,0.024378644,0.025417678,0.024830952,0.024393968,0.025062015,0.025165724,0.024827624,0.02507493,0.025019233,0.025460403,0.024757142,0.025168287,0.023907483,0.023998704,0.02515409,0.025676212,0.024755011,0.023823156,0.02506221,0.025580325,0.025314052,0.082180345,0.05330617,0.041090172,0.049974534,0.011105452,0.05330617,0.052195625,0.084401435,0.031095266,0.051085079,0.072185438,0.039979627,0.021100359,0.036647992,0.048863989,0.048863989,0.046642898,0.022210904,0.02998472,0.065522167,3.02E-06,1.96E-06,1.51E-06,1.84E-06,4.08E-07,1.96E-06,1.92E-06,3.10E-06,1.14E-06,1.88E-06,2.66E-06,1.47E-06,7.76E-07,1.35E-06,1.80E-06,1.80E-06,1.72E-06,8.17E-07,1.10E-06,2.41E-06,0.034199454,0.035859812,0.034056061,0.03430741,0.032851848,0.033460405,0.033827845,0.033970093,0.033059399,0.033228742,0.033612349,0.033162946,0.03223095,0.033498457,0.034014706,0.032947753,0.033303391,0.032129811,0.034101394,0.032659732,0.03324435,0.030888654,0.032826063,0.033123873,0.034620261,0.0326938,0.030842919,0.033380895,0.034229383,0.032556701,0.034621232,0.035232723,0.034440943,0.034097153,0.033563337,0.03313622,0.034297837,0.03388228,0.033313568,0.033574035,0.034463621,0.033925197,0.032857458,0.034490837,0.033693531,0.031928173,0.033825045,0.033274866,0.033439555,0.032489949,0.033456588,0.031470466,0.032549842,0.032698213,0.032172946,0.033520395,0.032011112,0.031811327,0.032743831,0.033017679
17.56904665,10.98065416,2.440145368,9.760581473,0.488029074,7.808465179,9.028537863,12.93277045,2.928174442,6.344377958,19.52116295,5.36831981,3.172188979,5.36831981,6.100363421,6.588392494,6.588392494,0.976058147,3.172188979,12.93277045,0.023907,0.025361537,0.024774267,0.025472905,0.025826267,0.024522422,0.02525317,0.026156154,0.024227947,0.024545988,0.023659449,0.025066139,0.02457691,0.025966684,0.024680732,0.02461602,0.024655974,0.026642576,0.026400462,0.025031878,0.026491573,0.02551239,0.024238042,0.025673482,0.025642689,0.023040196,0.025851348,0.025292161,0.026711791,0.026187311,0.110250915,0.068906822,0.015312627,0.061250508,0.003062525,0.049000407,0.05665672,0.081156923,0.018375152,0.03981283,0.122501017,0.03368778,0.019906415,0.03368778,0.038281568,0.041344093,0.041344093,0.006125051,0.019906415,0.081156923,4.27E-06,2.67E-06,5.94E-07,2.37E-06,1.19E-07,1.90E-06,2.20E-06,3.15E-06,7.12E-07,1.54E-06,4.75E-06,1.31E-06,7.72E-07,1.31E-06,1.48E-06,1.60E-06,1.60E-06,2.37E-07,7.72E-07,3.15E-06,0.032857309,0.033517803,0.033050174,0.034818169,0.034736165,0.033387185,0.033410556,0.034323377,0.032507664,0.032825644,0.030987049,0.033411817,0.032379015,0.033553939,0.032733662,0.032645613,0.03214248,0.034562677,0.034403273,0.032356523,0.034269732,0.033394991,0.03163643,0.033336773,0.03378341,0.030896545,0.034815867,0.032390349,0.034973553,0.034360993,0.033495973,0.035559797,0.032725501,0.033528583,0.034312392,0.032618117,0.035027629,0.034498766,0.033352317,0.032190976,0.03256782,0.032780185,0.032562222,0.033531147,0.033479663,0.033437877,0.033422089,0.034031223,0.033713063,0.033061129,0.034398534,0.033270752,0.030193006,0.033238706,0.033440459,0.031383568,0.034991588,0.032354742,0.033888688,0.032943428
7.805162419,5.676481759,2.365200733,3.784321173,0.473040147,2.83824088,5.203441613,6.622562052,0.946080293,2.83824088,7.805162419,3.5478011,1.655640513,2.83824088,6.149521906,4.493881393,3.5478011,2.12868066,3.784321173,5.203441613,0.02600571,0.026149171,0.023507353,0.026120301,0.024503722,0.025285511,0.025692164,0.025416621,0.026368438,0.026289885,0.024723541,0.024882131,0.025191034,0.025870782,0.025534851,0.026194871,0.025001264,0.026544317,0.026222311,0.024833806,0.024503023,0.023798345,0.023487059,0.025100359,0.025995677,0.025768429,0.026216869,0.026513949,0.026682588,0.025075844,0.093147049,0.067743309,0.028226379,0.045162206,0.005645276,0.033871654,0.062098033,0.07903386,0.011290551,0.033871654,0.093147049,0.042339568,0.019758465,0.033871654,0.073388584,0.053630119,0.042339568,0.025403741,0.045162206,0.062098033,3.56E-06,2.59E-06,1.08E-06,1.73E-06,2.16E-07,1.30E-06,2.38E-06,3.02E-06,4.32E-07,1.30E-06,3.56E-06,1.62E-06,7.56E-07,1.30E-06,2.81E-06,2.05E-06,1.62E-06,9.72E-07,1.73E-06,2.38E-06,0.034980661,0.037118367,0.032827306,0.035335945,0.033384093,0.034781396,0.034478845,0.034735648,0.033666095,0.034330274,0.032813638,0.032347891,0.03249543,0.034518883,0.032972151,0.03430447,0.033778218,0.03418171,0.033790346,0.032382898,0.030103109,0.030213792,0.029783698,0.032635413,0.033346626,0.031468691,0.033098865,0.033575002,0.03216756,0.031560344,0.036737021,0.037310018,0.033428207,0.033732091,0.032735533,0.034561308,0.034840982,0.034983281,0.034728821,0.034774422,0.033557095,0.032537267,0.033252887,0.034077299,0.033142831,0.033411416,0.032497951,0.034250719,0.031950297,0.031114255,0.031523843,0.031380971,0.0307695,0.031258768,0.033378773,0.033957018,0.031843945,0.03319341,0.033242909,0.031827057
9.759305708,7.617019089,4.284573238,6.902923549,0.476063693,7.140955396,7.617019089,8.569146475,2.380318465,2.856382158,12.61568787,8.093082782,2.618350312,2.856382158,4.998668777,4.522605084,5.47473247,1.904254772,5.712764317,9.045210168,0.0247057,0.025639291,0.024815658,0.024227386,0.02643721,0.025421501,0.025903682,0.025135244,0.025711352,0.025131181,0.0259152,0.025323234,0.025960531,0.026158223,0.026044534,0.025711582,0.025710687,0.025578001,0.02681863,0.024046429,0.02624739,0.024168147,0.024947639,0.02492212,0.025943796,0.023730972,0.025064638,0.026152501,0.025768043,0.024627652,0.074996992,0.058534238,0.032925509,0.053046653,0.00365839,0.054875848,0.058534238,0.065851017,0.018291949,0.021950339,0.096947331,0.062192627,0.020121144,0.021950339,0.038413093,0.034754704,0.042071483,0.014633559,0.043900678,0.069509407,3.10E-06,2.42E-06,1.36E-06,2.19E-06,1.51E-07,2.27E-06,2.42E-06,2.72E-06,7.57E-07,9.08E-07,4.01E-06,2.57E-06,8.32E-07,9.08E-07,1.59E-06,1.44E-06,1.74E-06,6.05E-07,1.82E-06,2.88E-06,0.034473678,0.035480365,0.032748181,0.032531619,0.036246948,0.032848082,0.034344988,0.033743476,0.034432236,0.032171156,0.034137378,0.032817162,0.03471906,0.034252353,0.034066783,0.033684054,0.033753044,0.033649786,0.034324137,0.031884512,0.034488832,0.030865915,0.032911204,0.031404367,0.03382374,0.029573604,0.032783061,0.033021552,0.031678084,0.031311446,0.034113238,0.03532396,0.03385766,0.034528832,0.037058545,0.032562424,0.034181815,0.034253313,0.035164149,0.033437821,0.034426118,0.033163324,0.033391394,0.033430223,0.034863204,0.032342542,0.032990648,0.033061768,0.03429604,0.031108383,0.033451367,0.031012283,0.03206753,0.030386191,0.03495922,0.031528419,0.032304901,0.034098058,0.032000459,0.030636094
13.89749587,6.434025865,2.573610346,1.801527242,1.544166208,4.117776554,5.404581727,8.750275177,2.830971381,2.573610346,11.58124656,3.34569345,2.058888277,2.573610346,6.434025865,2.573610346,4.375137588,0.514722069,1.286805173,7.720831038,0.024082975,0.025207311,0.024564235,0.023831914,0.026030671,0.026383614,0.023811811,0.024872405,0.022859275,0.023689343,0.024980673,0.025607885,0.026344804,0.023998278,0.025513635,0.023237598,0.02593462,0.024851377,0.024931338,0.023188765,0.025334257,0.025148801,0.022813095,0.024827909,0.025876401,0.025451334,0.023242285,0.024728672,0.024340006,0.026953677,0.154118154,0.071350997,0.028540399,0.019978279,0.017124239,0.045664638,0.059934838,0.097037356,0.031394439,0.028540399,0.128431795,0.037102518,0.022832319,0.028540399,0.071350997,0.028540399,0.048518678,0.00570808,0.014270199,0.085621196,5.77E-06,2.67E-06,1.07E-06,7.48E-07,6.41E-07,1.71E-06,2.24E-06,3.63E-06,1.18E-06,1.07E-06,4.81E-06,1.39E-06,8.55E-07,1.07E-06,2.67E-06,1.07E-06,1.82E-06,2.14E-07,5.34E-07,3.21E-06,0.033373738,0.035686442,0.034557229,0.033131508,0.036292487,0.036268747,0.03431358,0.035188173,0.032267855,0.031339082,0.033941042,0.034075416,0.033621773,0.032250026,0.033681532,0.031952203,0.035211162,0.033587663,0.0325226,0.031438171,0.03364013,0.0324868,0.029864941,0.032662608,0.033724912,0.03335282,0.030160448,0.032031994,0.03096798,0.033552897,0.035757879,0.035745844,0.035615962,0.034605891,0.03549835,0.036796402,0.032986532,0.034068118,0.032776617,0.03159684,0.033869447,0.034504407,0.034219291,0.032426004,0.034970314,0.031142573,0.032603683,0.034248095,0.032056398,0.032593273,0.031795543,0.033880958,0.03209946,0.032681119,0.033536255,0.032261428,0.030451425,0.03139445,0.031503116,0.032314217
13.0833426,6.413403236,2.821897424,1.795752906,1.539216777,4.104578071,5.643794848,8.722228401,2.821897424,2.565361294,11.54412582,3.334969683,2.052289035,2.565361294,6.413403236,2.565361294,4.104578071,0.513072259,1.282680647,8.209156142,0.024029101,0.025240928,0.024427742,0.023511248,0.026174817,0.026411526,0.023627075,0.024892189,0.022832935,0.023831604,0.025026304,0.025355207,0.026502293,0.024086374,0.025748437,0.023016746,0.025990413,0.025008038,0.025023273,0.02332665,0.025374066,0.025459876,0.022817971,0.024903094,0.02542121,0.025774701,0.023242516,0.024979713,0.024513928,0.026913895,0.144668724,0.070916041,0.031203058,0.019856492,0.01701985,0.045386266,0.062406116,0.096445816,0.031203058,0.028366417,0.127648874,0.036876342,0.022693133,0.028366417,0.070916041,0.028366417,0.045386266,0.005673283,0.014183208,0.090772533,5.42E-06,2.65E-06,1.17E-06,7.43E-07,6.37E-07,1.70E-06,2.34E-06,3.61E-06,1.17E-06,1.06E-06,4.78E-06,1.38E-06,8.49E-07,1.06E-06,2.65E-06,1.06E-06,1.70E-06,2.12E-07,5.31E-07,3.40E-06,0.033542213,0.035726018,0.034277841,0.032609721,0.036097264,0.036145562,0.034043034,0.035023503,0.032063567,0.031794572,0.034001816,0.033967537,0.033818482,0.032244284,0.034273272,0.03187226,0.035017376,0.033478332,0.032726376,0.031383655,0.03369729,0.032947237,0.029648012,0.033073737,0.033029224,0.033571721,0.029713413,0.032485253,0.031275532,0.033615255,0.035797246,0.035831969,0.03548972,0.03432851,0.035588388,0.036707623,0.032667534,0.033976237,0.032776832,0.031345866,0.034038197,0.034330304,0.034573949,0.032550241,0.035146654,0.030880579,0.0325588,0.034179393,0.032253334,0.032792866,0.031997924,0.033752365,0.031849858,0.032716677,0.033176209,0.032640106,0.030396625,0.031442432,0.031943344,0.032270111
12.65606536,11.27540368,2.070992513,7.823749492,0.690330838,6.212977538,6.903308376,6.212977538,2.070992513,4.832315863,18.40882234,4.832315863,2.991433629,5.522646701,7.823749492,4.602205584,3.911874746,2.991433629,2.991433629,9.434521447,0.02487692,0.027814887,0.026189718,0.024002318,0.024723648,0.025353958,0.024867472,0.025731603,0.025927635,0.02459006,0.025840616,0.026207355,0.026265959,0.026578317,0.025816705,0.023681257,0.02502563,0.025977831,0.026333147,0.024171584,0.025184457,0.025277833,0.026747123,0.027018765,0.025387795,0.025816946,0.025411364,0.02715493,0.025790694,0.026123193,0.092383111,0.082304954,0.015117236,0.05710956,0.005039079,0.045351709,0.050390788,0.045351709,0.015117236,0.035273552,0.134375435,0.035273552,0.021836008,0.04031263,0.05710956,0.033593859,0.02855478,0.021836008,0.021836008,0.06886741,3.66E-06,3.26E-06,5.99E-07,2.26E-06,2.00E-07,1.80E-06,2.00E-06,1.80E-06,5.99E-07,1.40E-06,5.32E-06,1.40E-06,8.65E-07,1.60E-06,2.26E-06,1.33E-06,1.13E-06,8.65E-07,8.65E-07,2.73E-06,0.033535505,0.037025778,0.035169721,0.031738223,0.032890871,0.033317277,0.033666765,0.032558562,0.033819495,0.032336757,0.03374802,0.034222756,0.034227903,0.034281845,0.032841034,0.030637393,0.032600482,0.034344475,0.033363661,0.031225594,0.033012917,0.033064337,0.033888984,0.033568184,0.031985364,0.032845273,0.031991673,0.034758025,0.032785928,0.032867502,0.034313008,0.036879294,0.035227929,0.033732591,0.032435694,0.033682443,0.033166574,0.033437149,0.034850857,0.030263982,0.033225219,0.035025429,0.033936549,0.033032241,0.032951217,0.031569077,0.032739554,0.033846135,0.034531705,0.032716463,0.0323564,0.033337812,0.033643682,0.033360776,0.032318397,0.032894894,0.032407745,0.034139947,0.031994493,0.031982675
8.422141988,3.31781351,1.276082119,2.296947815,0.255216424,1.786514967,2.552164239,6.125194173,1.786514967,5.869977749,7.401276292,1.531298543,2.552164239,6.890843444,2.041731391,3.31781351,3.31781351,2.041731391,1.531298543,6.380410597,0.023938942,0.023051856,0.023545755,0.02248058,0.023801468,0.024873261,0.026661424,0.025102055,0.02570832,0.024959568,0.026251291,0.024682773,0.025593396,0.024091376,0.025183688,0.026099592,0.024550342,0.024304811,0.02582245,0.023795401,0.025061027,0.024762243,0.026912367,0.025068401,0.024981458,0.024618557,0.022617439,0.026410323,0.024697972,0.025155441,0.133059539,0.052417394,0.020160536,0.036288965,0.004032107,0.028224751,0.040321072,0.096770574,0.028224751,0.092738467,0.11693111,0.024192643,0.040321072,0.108866896,0.032256858,0.052417394,0.052417394,0.032256858,0.024192643,0.100802681,4.53E-06,1.78E-06,6.86E-07,1.23E-06,1.37E-07,9.60E-07,1.37E-06,3.29E-06,9.60E-07,3.15E-06,3.98E-06,8.23E-07,1.37E-06,3.70E-06,1.10E-06,1.78E-06,1.78E-06,1.10E-06,8.23E-07,3.43E-06,0.033723731,0.032558175,0.031569772,0.031449713,0.032450379,0.033368663,0.035568939,0.033046587,0.033953187,0.033745436,0.034697431,0.034491325,0.034624296,0.032992169,0.033644131,0.035694127,0.0336943,0.032986502,0.034649703,0.032560403,0.033280627,0.033186598,0.035084591,0.032719458,0.032700237,0.031390724,0.028877299,0.03348237,0.031582239,0.032194781,0.035483492,0.036254129,0.033994521,0.032396024,0.03303925,0.033912278,0.037383528,0.033231689,0.034877082,0.03157734,0.03402279,0.034306882,0.035024545,0.032508649,0.034782,0.036486236,0.031330653,0.032794071,0.034838525,0.031388234,0.031105404,0.032998869,0.03455671,0.033495316,0.031506729,0.032093758,0.02907014,0.033508827,0.031463728,0.030568466
8.111243842,3.785247126,1.892623563,2.162998358,0.540749589,2.974122742,2.433373153,10.0038674,1.351873974,8.111243842,14.05948933,3.244497537,2.162998358,5.948245484,3.785247126,4.866746305,5.407495894,2.703747947,2.974122742,10.81499179,0.022801171,0.023036045,0.022666064,0.022771345,0.023595844,0.023671094,0.024054655,0.024227703,0.022711767,0.025250756,0.025815476,0.024099762,0.025679968,0.023738029,0.023720111,0.025889774,0.024755705,0.025737386,0.025195152,0.026377758,0.024282414,0.025767632,0.023962866,0.024307792,0.024647145,0.023591735,0.023962739,0.024724804,0.023475107,0.025107405,0.100288067,0.046801098,0.023400549,0.026743484,0.006685871,0.036772291,0.03008642,0.123688615,0.016714678,0.100288067,0.173832649,0.040115227,0.026743484,0.073544582,0.046801098,0.06017284,0.066858711,0.033429356,0.036772291,0.133717422,3.16E-06,1.48E-06,7.38E-07,8.43E-07,2.11E-07,1.16E-06,9.48E-07,3.90E-06,5.27E-07,3.16E-06,5.48E-06,1.26E-06,8.43E-07,2.32E-06,1.48E-06,1.90E-06,2.11E-06,1.05E-06,1.16E-06,4.22E-06,0.032815044,0.033322091,0.032181956,0.032670089,0.034051561,0.033389385,0.033606156,0.033447248,0.032306086,0.033687634,0.035034239,0.032538713,0.035205493,0.032463661,0.030810043,0.035170161,0.03220917,0.034792066,0.034170244,0.034745853,0.033252288,0.034383218,0.033564691,0.033026701,0.03230221,0.032427236,0.0325091,0.032811112,0.030569479,0.033194135,0.032775622,0.033735364,0.032549289,0.035002405,0.034139659,0.032342694,0.034373822,0.03387329,0.031334802,0.034575189,0.036062294,0.031610392,0.035311665,0.032032286,0.031245995,0.035087007,0.032708387,0.034438211,0.035106893,0.034936582,0.032545832,0.033276965,0.033395543,0.032900175,0.033041021,0.032350746,0.033422479,0.032364077,0.030381215,0.033079992
8.111243842,3.785247126,1.892623563,2.162998358,0.540749589,2.974122742,2.433373153,10.0038674,1.351873974,8.111243842,14.05948933,3.244497537,2.162998358,5.948245484,3.785247126,4.866746305,5.407495894,2.703747947,2.974122742,10.81499179,0.022801171,0.023036045,0.022666064,0.022771345,0.023595844,0.023671094,0.024054655,0.024227703,0.022711767,0.025250756,0.025815476,0.024099762,0.025679968,0.023738029,0.023720111,0.025889774,0.024755705,0.025737386,0.025195152,0.026377758,0.024282414,0.025767632,0.023962866,0.024307792,0.024647145,0.023591735,0.023962739,0.024724804,0.023475107,0.025107405,0.100288067,0.046801098,0.023400549,0.026743484,0.006685871,0.036772291,0.03008642,0.123688615,0.016714678,0.100288067,0.173832649,0.040115227,0.026743484,0.073544582,0.046801098,0.06017284,0.066858711,0.033429356,0.036772291,0.133717422,3.16E-06,1.48E-06,7.38E-07,8.43E-07,2.11E-07,1.16E-06,9.48E-07,3.90E-06,5.27E-07,3.16E-06,5.48E-06,1.26E-06,8.43E-07,2.32E-06,1.48E-06,1.90E-06,2.11E-06,1.05E-06,1.16E-06,4.22E-06,0.032815044,0.033322091,0.032181956,0.032670089,0.034051561,0.033389385,0.033606156,0.033447248,0.032306086,0.033687634,0.035034239,0.032538713,0.035205493,0.032463661,0.030810043,0.035170161,0.03220917,0.034792066,0.034170244,0.034745853,0.033252288,0.034383218,0.033564691,0.033026701,0.03230221,0.032427236,0.0325091,0.032811112,0.030569479,0.033194135,0.032775622,0.033735364,0.032549289,0.035002405,0.034139659,0.032342694,0.034373822,0.03387329,0.031334802,0.034575189,0.036062294,0.031610392,0.035311665,0.032032286,0.031245995,0.035087007,0.032708387,0.034438211,0.035106893,0.034936582,0.032545832,0.033276965,0.033395543,0.032900175,0.033041021,0.032350746,0.033422479,0.032364077,0.030381215,0.033079992
6.964639644,3.482319822,0,1.607224533,1.339353778,1.339353778,1.339353778,7.500381155,1.339353778,1.339353778,17.14372835,0.535741511,1.607224533,2.4108368,3.750190578,2.678707555,2.142966044,2.142966044,0.803612267,4.8216736,0.020831506,0.024006135,0.021376291,0.021039854,0.022580405,0.023222909,0.024166055,0.023833299,0.023407915,0.024025435,0.024412117,0.025101123,0.025873337,0.024101611,0.025008834,0.025842576,0.024713133,0.025255314,0.025755124,0.024500454,0.026537494,0.027060181,0.024664654,0.024495929,0.025564693,0.02527647,0.025638574,0.024165107,0.024118139,0.025554578,0.133433583,0.066716791,0,0.030792365,0.025660304,0.025660304,0.025660304,0.143697704,0.025660304,0.025660304,0.328451896,0.010264122,0.030792365,0.046188548,0.071848852,0.051320609,0.041056487,0.041056487,0.015396183,0.092377096,3.86E-06,1.93E-06,0,8.90E-07,7.41E-07,7.41E-07,7.41E-07,4.15E-06,7.41E-07,7.41E-07,9.49E-06,2.97E-07,8.90E-07,1.33E-06,2.08E-06,1.48E-06,1.19E-06,1.19E-06,4.45E-07,2.67E-06,0.030378053,0.034767673,0.030511399,0.030188922,0.033512818,0.032406487,0.033163893,0.034077259,0.033973107,0.033245755,0.033749002,0.034659816,0.036369353,0.033488023,0.034105388,0.034771429,0.033159917,0.033014822,0.034603409,0.032942751,0.03502766,0.03523141,0.032569994,0.032060737,0.032090901,0.032729362,0.032423158,0.031381266,0.031305793,0.032958387,0.03324205,0.03538402,0.033290286,0.028478616,0.034987667,0.034097287,0.033123396,0.034389563,0.03549142,0.034206392,0.034033349,0.035312253,0.036111914,0.035908191,0.035203474,0.034190748,0.034601737,0.034097465,0.034090466,0.032459071,0.034171828,0.035239818,0.029526573,0.031438545,0.031544003,0.03282556,0.031464984,0.029529465,0.030148773,0.031410936
